scene,operator,exposure_sensitivity_index
C:\hdr_perceptual\data\hdr_exr\Mammoth Hot Springs.exr,gamma,1.7527793645858765
C:\hdr_perceptual\data\hdr_exr\Mammoth Hot Springs.exr,reinhard_local,0.29961860179901123
C:\hdr_perceptual\data\hdr_exr\Mason Lake (1).exr,reinhard,0.4033186435699463
C:\hdr_perceptual\data\hdr_exr\Mason Lake (1).exr,drago,0.0949176549911499
C:\hdr_perceptual\data\hdr_exr\Mason Lake (1).exr,filmic,0.8845985531806946
C:\hdr_perceptual\data\hdr_exr\Mason Lake (1).exr,gamma,0.7786593437194824
C:\hdr_perceptual\data\hdr_exr\Mason Lake (1).exr,reinhard_local,0.3385925889015198
C:\hdr_perceptual\data\hdr_exr\Mason Lake (2).exr,reinhard,0.5559738278388977
C:\hdr_perceptual\data\hdr_exr\Mason Lake (2).exr,drago,0.11425220221281052
C:\hdr_perceptual\data\hdr_exr\Mason Lake (2).exr,filmic,0.6189990639686584
C:\hdr_perceptual\data\hdr_exr\Mason Lake (2).exr,gamma,1.190533995628357
C:\hdr_perceptual\data\hdr_exr\Mason Lake (2).exr,reinhard_local,0.2912783920764923
C:\hdr_perceptual\data\hdr_exr\McKee's Pub.exr,reinhard,1.3801733255386353
C:\hdr_perceptual\data\hdr_exr\McKee's Pub.exr,drago,0.5435360670089722
C:\hdr_perceptual\data\hdr_exr\McKee's Pub.exr,filmic,1.1394624710083008
C:\hdr_perceptual\data\hdr_exr\McKee's Pub.exr,gamma,0.7120817303657532
C:\hdr_perceptual\data\hdr_exr\McKee's Pub.exr,reinhard_local,1.3816393613815308
